fitness,benefit,cost,numLost,numFixed,numTotal,percentFixed
-1,0.19,0.1,1000000,0,1000000,0
-1,0.191,0.1,1000000,0,1000000,0
-1,0.192,0.1,1000000,0,1000000,0
-1,0.193,0.1,1000000,0,1000000,0
-1,0.194,0.1,1000000,0,1000000,0
-1,0.195,0.1,999997,3,1000000,3e-6
-1,0.196,0.1,999956,44,1000000,4.4e-5
-1,0.197,0.1,999840,160,1000000,1.6e-4
-1,0.198,0.1,999566,434,1000000,4.34e-4
-1,0.199,0.1,999123,877,1000000,8.77e-4
-1,0.2,0.1,998548,1452,1000000,0.001452
-1,0.201,0.1,997807,2193,1000000,0.002193
-0.014,0.19,0.1,1000000,0,1000000,0
-0.014,0.191,0.1,1000000,0,1000000,0
-0.014,0.192,0.1,1000000,0,1000000,0
-0.014,0.193,0.1,1000000,0,1000000,0
-0.014,0.194,0.1,999995,5,1000000,5e-6
-0.014,0.195,0.1,999988,12,1000000,1.2e-5
-0.014,0.196,0.1,999937,63,1000000,6.3e-5
-0.014,0.197,0.1,999855,145,1000000,1.45e-4
-0.014,0.198,0.1,999635,365,1000000,3.65e-4
-0.014,0.199,0.1,999407,593,1000000,5.93e-4
-0.014,0.2,0.1,999058,942,1000000,9.42e-4
-0.014,0.201,0.1,998631,1369,1000000,0.001369
-0.012,0.19,0.1,1150000,0,1150000,0
-0.012,0.191,0.1,1150000,0,1150000,0
-0.012,0.192,0.1,1150000,0,1150000,0
-0.012,0.193,0.1,1150000,0,1150000,0
-0.012,0.194,0.1,1149996,4,1150000,3.4782608695652175e-6
-0.012,0.195,0.1,1149985,15,1150000,1.3043478260869566e-5
-0.012,0.196,0.1,1149939,61,1150000,5.304347826086957e-5
-0.012,0.197,0.1,1149848,152,1150000,1.3217391304347825e-4
-0.012,0.198,0.1,1149666,334,1150000,2.904347826086956e-4
-0.012,0.199,0.1,1149328,672,1150000,5.843478260869565e-4
-0.012,0.2,0.1,1149051,949,1150000,8.252173913043478e-4
-0.012,0.201,0.1,1148464,1536,1150000,0.0013356521739130436
-0.01,0.19,0.1,1000000,0,1000000,0
-0.01,0.191,0.1,1000000,0,1000000,0
-0.01,0.192,0.1,1000000,0,1000000,0
-0.01,0.193,0.1,999999,1,1000000,1e-6
-0.01,0.194,0.1,999992,8,1000000,8e-6
-0.01,0.195,0.1,999976,24,1000000,2.4e-5
-0.01,0.196,0.1,999938,62,1000000,6.2e-5
-0.01,0.197,0.1,999877,123,1000000,1.23e-4
-0.01,0.198,0.1,999737,263,1000000,2.63e-4
-0.01,0.199,0.1,999509,491,1000000,4.91e-4
-0.01,0.2,0.1,999202,798,1000000,7.98e-4
-0.01,0.201,0.1,998803,1197,1000000,0.001197
-0.008,0.19,0.1,1000000,0,1000000,0
-0.008,0.191,0.1,1000000,0,1000000,0
-0.008,0.192,0.1,1000000,0,1000000,0
-0.008,0.193,0.1,999996,4,1000000,4e-6
-0.008,0.194,0.1,999998,2,1000000,2e-6
-0.008,0.195,0.1,999982,18,1000000,1.8e-5
-0.008,0.196,0.1,999955,45,1000000,4.5e-5
-0.008,0.197,0.1,999882,118,1000000,1.18e-4
-0.008,0.198,0.1,999743,257,1000000,2.57e-4
-0.008,0.199,0.1,999522,478,1000000,4.78e-4
-0.008,0.2,0.1,999176,824,1000000,8.24e-4
-0.008,0.201,0.1,998778,1222,1000000,0.001222
-0.006,0.19,0.1,1000000,0,1000000,0
-0.006,0.191,0.1,1000000,0,1000000,0
-0.006,0.192,0.1,1000000,0,1000000,0
-0.006,0.193,0.1,1000000,0,1000000,0
-0.006,0.194,0.1,999995,5,1000000,5e-6
-0.006,0.195,0.1,999981,19,1000000,1.9e-5
-0.006,0.196,0.1,999954,46,1000000,4.6e-5
-0.006,0.197,0.1,999899,101,1000000,1.01e-4
-0.006,0.198,0.1,999757,243,1000000,2.43e-4
-0.006,0.199,0.1,999594,406,1000000,4.06e-4
-0.006,0.2,0.1,999187,813,1000000,8.13e-4
-0.006,0.201,0.1,998736,1264,1000000,0.001264
0,0.19,0.1,1000000,0,1000000,0
0,0.191,0.1,1000000,0,1000000,0
0,0.192,0.1,1000000,0,1000000,0
0,0.193,0.1,1000000,0,1000000,0
0,0.194,0.1,1000000,0,1000000,0
0,0.195,0.1,999994,6,1000000,6e-6
0,0.196,0.1,999963,37,1000000,3.7e-5
0,0.197,0.1,999817,183,1000000,1.83e-4
0,0.198,0.1,999545,455,1000000,4.55e-4
0,0.199,0.1,999182,818,1000000,8.18e-4
0,0.2,0.1,998571,1429,1000000,0.001429
0,0.201,0.1,997921,2079,1000000,0.002079
