fitness,benefit,cost,litterSize,numInter,numLost,numFixed,numTotal,percentFixed
-1,0.196,0.1,4,1,1000216,24,1000240,2.3994241382068302e-5
-1,0.196,0.1,4,3,1000240,0,1000240,0
-1,0.196,0.1,4,6,1000240,0,1000240,0
-1,0.197,0.1,4,1,1000192,37,1000229,3.699152893987277e-5
-1,0.197,0.1,4,3,1000229,1,1000230,9.997700528878357e-7
-1,0.197,0.1,4,6,1000230,0,1000230,0
-1,0.198,0.1,4,1,1000145,65,1000210,6.498635286589817e-5
-1,0.198,0.1,4,3,1000191,9,1000200,8.998200359928014e-6
-1,0.198,0.1,4,6,1000200,0,1000200,0
-1,0.199,0.1,4,1,1000299,121,1000420,1.2094920133543912e-4
-1,0.199,0.1,4,3,1000387,33,1000420,3.2986145818756123e-5
-1,0.199,0.1,4,6,1000416,4,1000420,3.998320705303773e-6
-1,0.2,0.1,4,1,1000325,155,1000480,1.5492563569486647e-4
-1,0.2,0.1,4,3,1000345,123,1000468,1.2294246292735e-4
-1,0.2,0.1,4,6,1000369,91,1000460,9.095815924674649e-5
-1,0.201,0.1,4,1,1000304,226,1000530,2.2588028344977163e-4
-1,0.201,0.1,4,3,1000207,321,1000528,3.208306014424384e-4
-1,0.201,0.1,4,6,1000080,447,1000527,4.467645550794731e-4
-0.014,0.196,0.1,4,1,1000176,64,1000240,6.398464368551548e-5
-0.014,0.196,0.1,4,3,1000229,11,1000240,1.0997360633447972e-5
-0.014,0.196,0.1,4,6,1000239,1,1000240,9.997600575861794e-7
-0.014,0.197,0.1,4,1,1000146,84,1000230,8.398068444257821e-5
-0.014,0.197,0.1,4,3,1000209,21,1000230,2.0995171110644552e-5
-0.014,0.197,0.1,4,6,1000230,0,1000230,0
-0.014,0.198,0.1,4,1,1000085,117,1000202,1.1697637077310383e-4
-0.014,0.198,0.1,4,3,1000170,30,1000200,2.999400119976005e-5
-0.014,0.198,0.1,4,6,1000188,12,1000200,1.199760047990402e-5
-0.014,0.199,0.1,4,1,1000270,150,1000420,1.4993702644889147e-4
-0.014,0.199,0.1,4,3,1000333,87,1000420,8.696347534035706e-5
-0.014,0.199,0.1,4,6,1000379,37,1000416,3.698461440040943e-5
-0.014,0.2,0.1,4,1,1000337,143,1000480,1.4293139293139294e-4
-0.014,0.2,0.1,4,3,1000349,116,1000465,1.1594608507044224e-4
-0.014,0.2,0.1,4,6,1000339,121,1000460,1.2094436559182775e-4
-0.014,0.201,0.1,4,1,1000325,205,1000530,2.0489140755399637e-4
-0.014,0.201,0.1,4,3,1000296,234,1000530,2.3387604569578125e-4
-0.014,0.201,0.1,4,6,1000239,291,1000530,2.9084585169859975e-4
