fitness,benefit,cost,numLost,numFixed,numTotal,percentFixed
-1,0,0,999513,487,1000000,4.87e-4
-1,0.19,0.1,1250000,0,1250000,0
-1,0.2,0.1,1151027,4823,1155850,0.004172686767314098
-1,0.21,0.1,975601,31519,1007120,0.03129617126062435
-0.014,0,0,999480,520,1000000,5.2e-4
-0.014,0.19,0.1,1250000,0,1250000,0
-0.014,0.2,0.1,1651160,4690,1655850,0.0028323821602198266
-0.014,0.21,0.1,980155,26909,1007064,0.026720248166948676
-0.012,0,0,999493,507,1000000,5.07e-4
-0.012,0.19,0.1,1250000,0,1250000,0
-0.012,0.2,0.1,1152880,2966,1155846,0.0025660857934361497
-0.012,0.21,0.1,980231,26868,1007099,0.026678608557847837
-0.01,0,0,999510,490,1000000,4.9e-4
-0.01,0.19,0.1,1249999,1,1250000,8e-7
-0.01,0.2,0.1,1153209,2631,1155840,0.002276266611295681
-0.01,0.21,0.1,979681,27435,1007116,0.027241151962633898
-0.008,0,0,999457,543,1000000,5.43e-4
-0.008,0.19,0.1,1250000,0,1250000,0
-0.008,0.2,0.1,1153117,2723,1155840,0.002355862403100775
-0.008,0.21,0.1,978645,28475,1007120,0.02827369131781714
-0.006,0,0,999461,539,1000000,5.39e-4
-0.006,0.19,0.1,1250000,0,1250000,0
-0.006,0.2,0.1,1153102,2738,1155840,0.002368839977851606
-0.006,0.21,0.1,977753,29364,1007117,0.0291564932376278
0,0,0,999494,506,1000000,5.06e-4
0,0.19,0.1,1250000,0,1250000,0
0,0.2,0.1,1150877,4973,1155850,0.004302461392049141
0,0.21,0.1,972067,31496,1003563,0.031384178173169
