fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-1,0.196,0.1,2,1023591,214,1023805,2.0902417940916483e-4
-1,0.196,0.1,4,1023770,40,1023810,3.906974926988406e-5
-1,0.196,0.1,6,1023701,109,1023810,1.0646506676043406e-4
-1,0.196,0.1,8,1023678,132,1023810,1.289301725906174e-4
-1,0.196,0.1,10,1023630,180,1023810,1.7581387171447828e-4
-1,0.197,0.1,2,1023605,198,1023803,1.9339658117821496e-4
-1,0.197,0.1,4,1023660,150,1023810,1.4651155976206523e-4
-1,0.197,0.1,6,1023519,291,1023810,2.8423242593840655e-4
-1,0.197,0.1,8,1023490,320,1023810,3.125579941590725e-4
-1,0.197,0.1,10,1023416,394,1023810,3.84837030308358e-4
-1,0.198,0.1,2,1023602,194,1023796,1.8949087513528087e-4
-1,0.198,0.1,4,1023384,425,1023809,4.151164914549491e-4
-1,0.198,0.1,6,1023228,582,1023810,5.684648518768131e-4
-1,0.198,0.1,8,1023078,732,1023810,7.149764116388783e-4
-1,0.198,0.1,10,1023075,735,1023810,7.179066428341196e-4
-1,0.199,0.1,2,1023607,195,1023802,1.9046651598648957e-4
-1,0.199,0.1,4,1022897,913,1023810,8.917670270851037e-4
-1,0.199,0.1,6,1022681,1129,1023810,0.0011027436731424775
-1,0.199,0.1,8,1022603,1207,1023810,0.0011789296842187515
-1,0.199,0.1,10,1022629,1181,1023810,0.001153534347193327
-1,0.2,0.1,2,1023623,173,1023796,1.6897897628043087e-4
-1,0.2,0.1,4,1022381,1429,1023810,0.001395766792666608
-1,0.2,0.1,6,1022052,1758,1023810,0.0017171154804114044
-1,0.2,0.1,8,1021955,1855,1023810,0.0018118596223908733
-1,0.2,0.1,10,1021888,1922,1023810,0.0018773014524179291
-1,0.201,0.1,2,1023607,195,1023802,1.9046651598648957e-4
-1,0.201,0.1,4,1021606,2204,1023810,0.002152743184770612
-1,0.201,0.1,6,1021291,2519,1023810,0.002460417460270949
-1,0.201,0.1,8,1021104,2706,1023810,0.0026430685381076567
-1,0.201,0.1,10,1021080,2730,1023810,0.002666510387669587
-0.014,0.196,0.1,2,1023807,3,1023810,2.9302311952413045e-6
-0.014,0.196,0.1,4,1023754,56,1023810,5.4697648977837685e-5
-0.014,0.196,0.1,6,1023699,111,1023810,1.0841855422392827e-4
-0.014,0.196,0.1,8,1023659,151,1023810,1.4748830349381234e-4
-0.014,0.196,0.1,10,1023655,155,1023810,1.5139527842080073e-4
-0.014,0.197,0.1,2,1023800,10,1023810,9.767437317471015e-6
-0.014,0.197,0.1,4,1023620,190,1023810,1.855813090319493e-4
-0.014,0.197,0.1,6,1023565,245,1023810,2.3930221427803986e-4
-0.014,0.197,0.1,8,1023485,325,1023810,3.17441712817808e-4
-0.014,0.197,0.1,10,1023443,366,1023809,3.5748855499414444e-4
-0.014,0.198,0.1,2,1023807,3,1023810,2.9302311952413045e-6
-0.014,0.198,0.1,4,1023462,348,1023810,3.399068186479913e-4
-0.014,0.198,0.1,6,1023340,470,1023810,4.5906955392113774e-4
-0.014,0.198,0.1,8,1023213,596,1023809,5.821398327227051e-4
-0.014,0.198,0.1,10,1023119,687,1023806,6.710255653903181e-4
-0.014,0.199,0.1,2,1023805,5,1023810,4.8837186587355076e-6
