fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-1,0.195,0.1,2,1005412,203,1005615,2.0186651949304654e-4
-1,0.195,0.1,4,999277,3,999280,3.002161556320551e-6
-1,0.195,0.1,6,1010259,1,1010260,9.898441985231524e-7
-1,0.195,0.1,8,684735,5,684740,7.302041650845577e-6
-1,0.195,0.1,10,995595,5,995600,5.02209722780233e-6
-1,0.196,0.1,2,1005416,202,1005618,2.0087150389113957e-4
-1,0.196,0.1,4,999266,14,999280,1.4010087262829237e-5
-1,0.196,0.1,6,1010249,11,1010260,1.0888286183754678e-5
-1,0.196,0.1,8,684727,13,684740,1.8985308292198497e-5
-1,0.196,0.1,10,995590,9,995599,9.039784089779118e-6
-1,0.197,0.1,2,1005441,180,1005621,1.7899387542622916e-4
-1,0.197,0.1,4,749251,29,749280,3.870382233610933e-5
-1,0.197,0.1,6,1010228,32,1010260,3.1675014352740876e-5
-1,0.197,0.1,8,684725,15,684740,2.1906124952536728e-5
-1,0.197,0.1,10,995568,22,995590,2.209744975341255e-5
-1,0.198,0.1,2,1005436,184,1005620,1.829716990513315e-4
-1,0.198,0.1,4,999202,78,999280,7.805620046433433e-5
-1,0.198,0.1,6,1010192,66,1010258,6.532984643526703e-5
-1,0.198,0.1,8,684705,35,684740,5.1114291555919034e-5
-1,0.198,0.1,10,995544,46,995590,4.620375857531715e-5
-1,0.199,0.1,2,1005431,189,1005620,1.8794375609076987e-4
-1,0.199,0.1,4,999099,181,999280,1.8113041389800658e-4
-1,0.199,0.1,6,1010109,141,1010250,1.3956941351150705e-4
-1,0.199,0.1,8,684665,75,684740,1.0953062476268365e-4
-1,0.199,0.1,10,995499,91,995590,9.140308761638827e-5
-1,0.2,0.1,2,1005417,207,1005624,2.0584234266485287e-4
-1,0.2,0.1,4,998917,350,999267,3.502567381890926e-4
-1,0.2,0.1,6,1009996,254,1010250,2.514229151200198e-4
-1,0.2,0.1,8,684600,140,684740,2.0445716622367614e-4
-1,0.2,0.1,10,995432,158,995590,1.5869986641087194e-4
-1,0.201,0.1,2,1014973,209,1015182,2.0587441463698134e-4
-1,0.201,0.1,4,1008171,658,1008829,6.522413610235233e-4
-1,0.201,0.1,6,1019338,472,1019810,4.628313117149273e-4
-1,0.201,0.1,8,694070,222,694292,3.197501915620517e-4
-1,0.201,0.1,10,1004902,248,1005150,2.46729343879023e-4
-0.014,0.195,0.1,2,1005622,8,1005630,7.955212155564173e-6
-0.014,0.195,0.1,4,749255,15,749270,2.0019485632682477e-5
-0.014,0.195,0.1,6,1010228,22,1010250,2.1776787923781243e-5
-0.014,0.195,0.1,8,684716,14,684730,2.044601521767704e-5
-0.014,0.195,0.1,10,995571,19,995590,1.9084161150674475e-5
-0.014,0.196,0.1,2,1005622,8,1005630,7.955212155564173e-6
-0.014,0.196,0.1,4,999228,42,999270,4.203068239815065e-5
-0.014,0.196,0.1,6,1010217,33,1010250,3.266518188567186e-5
-0.014,0.196,0.1,8,684710,20,684730,2.9208593168110057e-5
-0.014,0.196,0.1,10,995565,25,995590,2.5110738356150623e-5
-0.014,0.197,0.1,2,1005621,9,1005630,8.949613675009696e-6
-0.014,0.197,0.1,4,999222,48,999270,4.803506559788646e-5
-0.014,0.197,0.1,6,1010206,44,1010250,4.3553575847562486e-5
-0.014,0.197,0.1,8,684698,32,684730,4.673374906897609e-5
-0.014,0.197,0.1,10,995545,45,995590,4.519932904107112e-5
-0.014,0.198,0.1,2,1005622,8,1005630,7.955212155564173e-6
-0.014,0.198,0.1,4,999164,106,999270,1.0607743652866592e-4
-0.014,0.198,0.1,6,1010162,88,1010250,8.710715169512497e-5
-0.014,0.198,0.1,8,684685,45,684730,6.571933462824764e-5
-0.014,0.198,0.1,10,995516,74,995590,7.432778553420585e-5
-0.014,0.199,0.1,2,1005623,7,1005630,6.960810636118652e-6
-0.014,0.199,0.1,4,999088,178,999266,1.7813074796900924e-4
-0.014,0.199,0.1,6,1010120,130,1010250,1.2868101954961644e-4
-0.014,0.199,0.1,8,684668,62,684730,9.054663882114118e-5
-0.014,0.199,0.1,10,995512,78,995590,7.834550367118994e-5
-0.014,0.2,0.1,2,1005624,4,1005628,3.977613988472875e-6
-0.014,0.2,0.1,4,998998,262,999260,2.6219402357744733e-4
-0.014,0.2,0.1,6,1010069,181,1010250,1.7916357337292748e-4
-0.014,0.2,0.1,8,684644,86,684730,1.2559695062287326e-4
-0.014,0.2,0.1,10,995473,117,995590,1.1751825550678493e-4
-0.014,0.201,0.1,2,1015175,5,1015180,4.925234933706338e-6
-0.014,0.201,0.1,4,1008438,382,1008820,3.786602168870562e-4
-0.014,0.201,0.1,6,1019542,268,1019810,2.62794049872035e-4
-0.014,0.201,0.1,8,694166,124,694290,1.7859972057785651e-4
-0.014,0.201,0.1,10,1005001,149,1005150,1.482365816047356e-4
-0.012,0.195,0.1,2,1005613,7,1005620,6.960879855213699e-6
-0.012,0.195,0.1,4,999223,27,999250,2.7020265198899176e-5
-0.012,0.195,0.1,6,1010225,20,1010245,1.9797177912288604e-5
-0.012,0.195,0.1,8,684712,13,684725,1.898572419584505e-5
-0.012,0.195,0.1,10,995559,31,995590,3.113731556162677e-5
-0.012,0.196,0.1,2,1005614,6,1005620,5.966468447326028e-6
-0.012,0.196,0.1,4,999206,44,999250,4.4033024768576435e-5
-0.012,0.196,0.1,6,1010203,37,1010240,3.662496040544821e-5
-0.012,0.196,0.1,8,684697,23,684720,3.359037270709195e-5
-0.012,0.196,0.1,10,995561,29,995590,2.9128456493134725e-5
-0.012,0.197,0.1,2,1005616,4,1005620,3.977645631550685e-6
-0.012,0.197,0.1,4,999188,62,999250,6.204653490117588e-5
-0.012,0.197,0.1,6,1010178,62,1010240,6.13715552739943e-5
-0.012,0.197,0.1,8,684686,34,684720,4.965533356700549e-5
-0.012,0.197,0.1,10,995547,43,995590,4.3190469972579074e-5
-0.012,0.198,0.1,2,1005613,7,1005620,6.960879855213699e-6
-0.012,0.198,0.1,4,999148,102,999250,1.0207655741806355e-4
-0.012,0.198,0.1,6,1010154,86,1010240,8.512828634779854e-5
-0.012,0.198,0.1,8,684666,48,684714,7.010226167421726e-5
-0.012,0.198,0.1,10,995540,50,995590,5.0221476712301245e-5
-0.012,0.199,0.1,2,1005615,5,1005620,4.972057039438356e-6
-0.012,0.199,0.1,4,999075,175,999250,1.7513134851138354e-4
-0.012,0.199,0.1,6,1010126,114,1010240,1.1284447260057016e-4
-0.012,0.199,0.1,8,684634,76,684710,1.1099589607278993e-4
-0.012,0.199,0.1,10,995514,76,995590,7.63366446026979e-5
-0.012,0.2,0.1,2,1005614,6,1005620,5.966468447326028e-6
-0.012,0.2,0.1,4,998999,246,999245,2.461858703321007e-4
-0.012,0.2,0.1,6,1010045,195,1010240,1.930234399746595e-4
-0.012,0.2,0.1,8,684612,98,684710,1.4312628704122912e-4
-0.012,0.2,0.1,10,995483,107,995590,1.0747396016432467e-4
-0.012,0.201,0.1,2,1015172,6,1015178,5.910293564281338e-6
-0.012,0.201,0.1,4,1008458,342,1008800,3.390166534496431e-4
-0.012,0.201,0.1,6,1019575,225,1019800,2.2063149637183762e-4
-0.012,0.201,0.1,8,694147,123,694270,1.7716450372333531e-4
-0.012,0.201,0.1,10,1004990,160,1005150,1.591802218574342e-4
-0.01,0.195,0.1,2,1005605,5,1005610,4.972106482632432e-6
-0.01,0.195,0.1,4,999204,36,999240,3.6027380809415156e-5
-0.01,0.195,0.1,6,1010193,47,1010240,4.6523598352866646e-5
-0.01,0.195,0.1,8,684695,15,684710,2.1907084751208542e-5
-0.01,0.195,0.1,10,995572,18,995590,1.8079731616428448e-5
-0.01,0.196,0.1,2,1005602,8,1005610,7.955370372211891e-6
-0.01,0.196,0.1,4,999187,53,999240,5.3040310636083425e-5
-0.01,0.196,0.1,6,1010198,42,1010240,4.157427937915743e-5
-0.01,0.196,0.1,8,684683,27,684710,3.943275255217537e-5
-0.01,0.196,0.1,10,995552,38,995590,3.816832230134895e-5
-0.01,0.197,0.1,2,1005605,5,1005610,4.972106482632432e-6
