fitness,benefit,cost,numLost,numFixed,numTotal,percentFixed,recom_rate
-1,0.2,0.1,998548,1452,1000000,0.001452,1e-8
-0.014,0.2,0.1,999058,942,1000000,9.42e-4,1e-8
-0.012,0.2,0.1,1149051,949,1150000,8.252173913043478e-4,1e-8
-0.01,0.2,0.1,999202,798,1000000,7.98e-4,1e-8
-0.008,0.2,0.1,999176,824,1000000,8.24e-4,1e-8
-0.006,0.2,0.1,999187,813,1000000,8.13e-4,1e-8
0,0.2,0.1,998571,1429,1000000,0.001429,1e-8
-1,0.2,0.1,2771004,3996,2775000,0.00144,1e-12
-1,0.2,0.1,2771043,3957,2775000,0.001425945945945946,1e-4
-0.014,0.2,0.1,2772586,2414,2775000,8.699099099099099e-4,1e-12
-0.014,0.2,0.1,2770995,4005,2775000,0.0014432432432432433,1e-4
-0.012,0.2,0.1,2773030,1970,2775000,7.099099099099099e-4,1e-12
-0.012,0.2,0.1,2771060,3940,2775000,0.0014198198198198198,1e-4
-0.01,0.2,0.1,2773215,1785,2775000,6.432432432432432e-4,1e-12
-0.01,0.2,0.1,2770976,4024,2775000,0.0014500900900900901,1e-4
-0.008,0.2,0.1,2773426,1574,2775000,5.672072072072072e-4,1e-12
-0.008,0.2,0.1,2771001,3999,2775000,0.0014410810810810812,1e-4
-0.006,0.2,0.1,2773412,1588,2775000,5.722522522522523e-4,1e-12
-0.006,0.2,0.1,2770971,4029,2775000,0.0014518918918918918,1e-4
0,0.2,0.1,2771121,3879,2775000,0.0013978378378378378,1e-12
0,0.2,0.1,2771102,3898,2775000,0.0014046846846846846,1e-4
