fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-1,0,0,2,999787,249,1000036,2.4899103632269236e-4
-1,0,0,4,999880,170,1000050,1.6999150042497875e-4
-1,0,0,6,999936,114,1000050,1.1399430028498575e-4
-1,0,0,8,999953,97,1000050,9.699515024248787e-5
-1,0,0,10,999977,73,1000050,7.299635018249088e-5
-1,0.19,0.1,2,1004843,174,1005017,1.731313997673671e-4
-1,0.19,0.1,4,1005020,0,1005020,0
-1,0.19,0.1,6,1004987,11,1004998,1.094529541352321e-5
-1,0.19,0.1,8,1004955,15,1004970,1.4925818681154661e-5
-1,0.19,0.1,10,1004932,18,1004950,1.7911338872580724e-5
-1,0.196,0.1,2,1132662,207,1132869,1.8272192106942638e-4
-1,0.196,0.1,4,1132788,42,1132830,3.707528931966844e-5
-1,0.196,0.1,6,1132736,54,1132790,4.7669912340327865e-5
-1,0.196,0.1,8,1132725,63,1132788,5.561499592156696e-5
-1,0.196,0.1,10,1132695,55,1132750,4.855440300154491e-5
-1,0.197,0.1,2,1132637,233,1132870,2.0567231897746432e-4
-1,0.197,0.1,4,1132766,54,1132820,4.766864991790399e-5
-1,0.197,0.1,6,1132716,74,1132790,6.532543542933818e-5
-1,0.197,0.1,8,1132716,64,1132780,5.6498172637228765e-5
-1,0.197,0.1,10,1132684,66,1132750,5.826528360185389e-5
-1,0.198,0.1,2,1132659,209,1132868,1.844875131083233e-4
-1,0.198,0.1,4,1132711,109,1132820,9.622005261206547e-5
-1,0.198,0.1,6,1132710,80,1132790,7.062209235604127e-5
-1,0.198,0.1,8,1132699,79,1132778,6.974005497988132e-5
-1,0.198,0.1,10,1132677,73,1132750,6.44449348929596e-5
-1,0.199,0.1,2,1132648,221,1132869,1.9507992539296247e-4
-1,0.199,0.1,4,1132675,144,1132819,1.2711651199353118e-4
-1,0.199,0.1,6,1132676,114,1132790,1.0063648160735883e-4
-1,0.199,0.1,8,1132669,101,1132770,8.916196580064798e-5
-1,0.199,0.1,10,1132680,70,1132750,6.179651291105716e-5
-1,0.2,0.1,2,1132655,213,1132868,1.8801837460321943e-4
-1,0.2,0.1,4,1132604,206,1132810,1.8184867718328758e-4
